WP,00,2047070600,    , INVEST,   0, 227N, 1404E,  15,   1005, DB,
WP,00,2047070606,    , INVEST,   0, 233N, 1404E,  15,   1013, DB,
WP,00,2047070612,    , INVEST,   0, 240N, 1398E,  15,   1013, DB,
WP,00,2047070618,    , INVEST,   0, 246N, 1392E,  15,   1013, DB,
WP,00,2047070700,    , INVEST,   0, 249N, 1388E,  20,   1013, DB,
WP,00,2047070706,    , INVEST,   0, 252N, 1377E,  20,   1012, DB,
WP,00,2047070712,    , INVEST,   0, 258N, 1369E,  25,   1012, DB,
WP,00,2047070718,    , INVEST,   0, 260N, 1362E,  25,   1012, DB,
WP,00,2047070800,    , INVEST,   0, 260N, 1349E,  30,   1011, TD,
WP,00,2047070806,    , INVEST,   0, 264N, 1339E,  30,   1011, TD,
WP,00,2047070812,    , INVEST,   0, 271N, 1336E,  35,   1010, TS,
WP,00,2047070818,    , INVEST,   0, 280N, 1328E,  40,   1009, TS,
WP,00,2047070900,    , INVEST,   0, 290N, 1320E,  40,   1008, TS,
WP,00,2047070906,    , INVEST,   0, 296N, 1310E,  45,   1007, TS,
WP,00,2047070912,    , INVEST,   0, 304N, 1306E,  40,   1006, TS,
WP,00,2047070918,    , INVEST,   0, 314N, 1306E,  35,   1006, TS,
WP,00,2047071000,    , INVEST,   0, 324N, 1312E,  30,   1005, TD,
WP,00,2047071006,    , INVEST,   0, 336N, 1322E,  20,   1004, DB,
WP,00,2047071012,    , INVEST,   0, 345N, 1332E,  15,   1003, DB,
WP,10,2047071018,    , INVEST,   0, 351N, 1345E,  15,   1002, DB,
