WP, 12,2099071206,   , XRQA,   0,  99N, 1753E,  15,    0, DB
WP, 12,2099071212,   , XRQA,   0, 100N, 1749E,  15,    0, DB
WP, 12,2099071218,   , XRQA,   0, 101N, 1743E,  20,    0, DB
WP, 12,2099071300,   , XRQA,   0, 103N, 1736E,  20,    0, DB
WP, 12,2099071306,   , XRQA,   0, 105N, 1730E,  25,    0, TD
WP, 12,2099071312,   , XRQA,   0, 106N, 1724E,  30,    0, TD
WP, 12,2099071318,   , XRQA,   0, 108N, 1715E,  35,    0, TS
WP, 12,2099071400,   , XRQA,   0, 110N, 1709E,  45,    0, TS
WP, 12,2099071406,   , XRQA,   0, 116N, 1707E,  55,    0, TS
WP, 12,2099071412,   , XRQA,   0, 120N, 1703E,  85,    0, TY
WP, 12,2099071418,   , XRQA,   0, 125N, 1702E, 120,    0, TY
WP, 12,2099071421,   , XRQA,   0, 128N, 1702E, 105,    0, TY
WP, 12,2099071500,   , XRQA,   0, 131N, 1703E, 125,    0, TY
WP, 12,2099071506,   , XRQA,   0, 136N, 1705E, 140,    0, ST
WP, 12,2099071512,   , XRQA,   0, 139N, 1705E, 125,    0, TY
WP, 12,2099071518,   , XRQA,   0, 143N, 1703E, 110,    0, TY
WP, 12,2099071600,   , XRQA,   0, 144N, 1699E, 140,    0, ST
WP, 12,2099071606,   , XRQA,   0, 145N, 1695E, 145,    0, ST
WP, 12,2099071612,   , XRQA,   0, 145N, 1690E, 155,    0, ST
WP, 12,2099071618,   , XRQA,   0, 146N, 1685E, 150,    0, ST
WP, 12,2099071700,   , XRQA,   0, 146N, 1678E, 140,    0, ST
WP, 12,2099071706,   , XRQA,   0, 147N, 1673E, 125,    0, TY
WP, 12,2099071712,   , XRQA,   0, 148N, 1664E, 145,    0, ST
WP, 12,2099071715,   , XRQA,   0, 147N, 1660E, 155,    0, ST
WP, 12,2099071718,   , XRQA,   0, 147N, 1655E, 145,    0, ST
WP, 12,2099071800,   , XRQA,   0, 146N, 1646E, 135,    0, ST
WP, 12,2099071806,   , XRQA,   0, 146N, 1638E, 125,    0, TY
WP, 12,2099071812,   , XRQA,   0, 148N, 1630E, 140,    0, ST
WP, 12,2099071815,   , XRQA,   0, 149N, 1626E, 155,    0, ST
WP, 12,2099071818,   , XRQA,   0, 150N, 1621E, 145,    0, ST
WP, 12,2099071900,   , XRQA,   0, 151N, 1613E, 130,    0, ST
WP, 12,2099071906,   , XRQA,   0, 153N, 1605E, 155,    0, ST
WP, 12,2099071909,   , XRQA,   0, 154N, 1601E, 160,    0, ST
WP, 12,2099071912,   , XRQA,   0, 155N, 1598E, 145,    0, ST
WP, 12,2099071918,   , XRQA,   0, 158N, 1591E, 130,    0, ST
WP, 12,2099072000,   , XRQA,   0, 160N, 1586E, 145,    0, ST
WP, 12,2099072006,   , XRQA,   0, 166N, 1581E, 140,    0, ST
WP, 12,2099072012,   , XRQA,   0, 172N, 1576E, 150,    0, ST
WP, 12,2099072018,   , XRQA,   0, 179N, 1570E, 155,    0, ST
WP, 12,2099072100,   , XRQA,   0, 190N, 1562E, 155,    0, ST
WP, 12,2099072106,   , XRQA,   0, 198N, 1553E, 150,    0, ST
WP, 12,2099072112,   , XRQA,   0, 205N, 1543E, 150,    0, ST
WP, 12,2099072118,   , XRQA,   0, 213N, 1534E, 150,    0, ST
WP, 12,2099072200,   , XRQA,   0, 222N, 1523E, 145,    0, ST
WP, 12,2099072206,   , XRQA,   0, 233N, 1512E, 120,    0, TY
WP, 12,2099072212,   , XRQA,   0, 242N, 1500E, 110,    0, TY
WP, 12,2099072218,   , XRQA,   0, 250N, 1488E, 100,    0, TY
WP, 12,2099072300,   , XRQA,   0, 259N, 1475E,  90,    0, TY
WP, 12,2099072306,   , XRQA,   0, 267N, 1462E,  85,    0, TY
WP, 12,2099072312,   , XRQA,   0, 275N, 1447E,  85,    0, TY
WP, 12,2099072318,   , XRQA,   0, 280N, 1430E,  80,    0, TY
WP, 12,2099072400,   , XRQA,   0, 284N, 1412E,  70,    0, TY
WP, 12,2099072406,   , XRQA,   0, 286N, 1393E,  65,    0, TY
WP, 12,2099072412,   , XRQA,   0, 287N, 1378E,  55,    0, TS
WP, 12,2099072418,   , XRQA,   0, 290N, 1361E,  50,    0, TS
WP, 12,2099072500,   , XRQA,   0, 295N, 1342E,  55,    0, TS
WP, 12,2099072506,   , XRQA,   0, 301N, 1323E,  65,    0, TY
WP, 12,2099072512,   , XRQA,   0, 304N, 1308E,  65,    0, TY
WP, 12,2099072518,   , XRQA,   0, 310N, 1294E,  60,    0, TS
WP, 12,2099072600,   , XRQA,   0, 319N, 1280E,  55,    0, TS
WP, 12,2099072606,   , XRQA,   0, 324N, 1269E,  50,    0, TS
WP, 12,2099072612,   , XRQA,   0, 330N, 1257E,  35,    0, TS
WP, 12,2099072618,   , XRQA,   0, 336N, 1245E,  30,    0, TD
WP, 12,2099072700,   , XRQA,   0, 342N, 1234E,  30,    0, TD
WP, 12,2099072706,   , XRQA,   0, 348N, 1222E,  30,    0, TD
WP, 12,2099072712,   , XRQA,   0, 354N, 1211E,  25,    0, TD
WP, 12,2099072718,   , XRQA,   0, 358N, 1205E,  25,    0, TD
WP, 12,2099072800,   , XRQA,   0, 368N, 1198E,  25,    0, TD
WP, 12,2099072806,   , XRQA,   0, 378N, 1193E,  20,    0, DB
WP, 12,2099072812,   , XRQA,   0, 386N, 1189E,  20,    0, DB
WP, 12,2099072818,   , XRQA,   0, 391N, 1188E,  20,    0, DB
WP, 12,2099072900,   , XRQA,   0, 394N, 1190E,  15,    0, DB
WP, 12,2099072906,   , XRQA,   0, 398N, 1194E,  15,    0, DB
WP, 12,2099072912,   , XRQA,   0, 404N, 1199E,  15,    0, DB,Fengshen
