WP, 09,2099080900,   , XRQA,   0, 181N, 1364E,  15,    0, DB
WP, 09,2099080906,   , XRQA,   0, 180N, 1361E,  15,    0, DB
WP, 09,2099080912,   , XRQA,   0, 182N, 1358E,  20,    0, DB
WP, 09,2099080918,   , XRQA,   0, 185N, 1357E,  20,    0, DB
WP, 09,2099081000,   , XRQA,   0, 187N, 1359E,  20,    0, DB
WP, 09,2099081006,   , XRQA,   0, 188N, 1362E,  25,    0, TD
WP, 09,2099081012,   , XRQA,   0, 189N, 1364E,  30,    0, TD
WP, 09,2099081018,   , XRQA,   0, 188N, 1365E,  30,    0, TD
WP, 09,2099081100,   , XRQA,   0, 186N, 1361E,  35,    0, MD
WP, 09,2099081106,   , XRQA,   0, 183N, 1358E,  35,    0, MD
WP, 09,2099081112,   , XRQA,   0, 180N, 1356E,  35,    0, MD
WP, 09,2099081118,   , XRQA,   0, 178N, 1355E,  40,    0, TS
WP, 09,2099081200,   , XRQA,   0, 176N, 1356E,  40,    0, TS
WP, 09,2099081206,   , XRQA,   0, 173N, 1355E,  45,    0, TS
WP, 09,2099081212,   , XRQA,   0, 171N, 1354E,  50,    0, TS
WP, 09,2099081218,   , XRQA,   0, 170N, 1351E,  50,    0, TS
WP, 09,2099081300,   , XRQA,   0, 168N, 1345E,  65,    0, TY
WP, 09,2099081306,   , XRQA,   0, 166N, 1338E,  75,    0, TY
WP, 09,2099081312,   , XRQA,   0, 165N, 1331E,  85,    0, TY
WP, 09,2099081318,   , XRQA,   0, 165N, 1324E,  90,    0, TY
WP, 09,2099081400,   , XRQA,   0, 164N, 1316E,  95,    0, TY
WP, 09,2099081406,   , XRQA,   0, 162N, 1307E, 105,    0, TY
WP, 09,2099081412,   , XRQA,   0, 158N, 1300E, 120,    0, TY
WP, 09,2099081418,   , XRQA,   0, 157N, 1292E, 130,    0, ST
WP, 09,2099081500,   , XRQA,   0, 156N, 1286E, 130,    0, ST
WP, 09,2099081506,   , XRQA,   0, 158N, 1281E, 120,    0, TY
WP, 09,2099081512,   , XRQA,   0, 160N, 1277E, 140,    0, ST
WP, 09,2099081518,   , XRQA,   0, 167N, 1272E, 155,    0, ST
WP, 09,2099081600,   , XRQA,   0, 172N, 1266E, 160,    0, ST
WP, 09,2099081606,   , XRQA,   0, 179N, 1261E, 145,    0, ST
WP, 09,2099081612,   , XRQA,   0, 187N, 1256E, 130,    0, ST
WP, 09,2099081618,   , XRQA,   0, 194N, 1248E, 105,    0, TY
WP, 09,2099081700,   , XRQA,   0, 202N, 1240E,  90,    0, TY
WP, 09,2099081706,   , XRQA,   0, 210N, 1234E,  85,    0, TY
WP, 09,2099081712,   , XRQA,   0, 218N, 1229E,  90,    0, TY
WP, 09,2099081718,   , XRQA,   0, 227N, 1220E,  95,    0, TY
WP, 09,2099081800,   , XRQA,   0, 236N, 1210E,  70,    0, TY
WP, 09,2099081806,   , XRQA,   0, 240N, 1199E,  55,    0, TS
WP, 09,2099081812,   , XRQA,   0, 244N, 1195E,  45,    0, TS
WP, 09,2099081818,   , XRQA,   0, 248N, 1190E,  45,    0, TS
WP, 09,2099081900,   , XRQA,   0, 252N, 1185E,  35,    0, TS
WP, 09,2099081906,   , XRQA,   0, 256N, 1182E,  35,    0, TS
WP, 09,2099081912,   , XRQA,   0, 261N, 1178E,  30,    0, TD
WP, 09,2099081918,   , XRQA,   0, 269N, 1174E,  30,    0, TD
WP, 09,2099082000,   , XRQA,   0, 271N, 1168E,  30,    0, TD
WP, 09,2099082006,   , XRQA,   0, 275N, 1165E,  30,    0, TD
WP, 09,2099082012,   , XRQA,   0, 277N, 1160E,  25,    0, TD
WP, 09,2099082018,   , XRQA,   0, 278N, 1153E,  25,    0, TD
WP, 09,2099082100,   , XRQA,   0, 278N, 1149E,  25,    0, TD
WP, 09,2099082106,   , XRQA,   0, 277N, 1146E,  25,    0, TD
WP, 09,2099082112,   , XRQA,   0, 277N, 1143E,  25,    0, TD
WP, 09,2099082118,   , XRQA,   0, 277N, 1139E,  25,    0, TD
WP, 09,2099082200,   , XRQA,   0, 277N, 1135E,  20,    0, DB
WP, 09,2099082206,   , XRQA,   0, 278N, 1131E,  20,    0, DB
WP, 09,2099082212,   , XRQA,   0, 279N, 1126E,  20,    0, DB
WP, 09,2099082218,   , XRQA,   0, 281N, 1117E,  20,    0, DB
WP, 09,2099082300,   , XRQA,   0, 281N, 1104E,  20,    0, DB
WP, 09,2099082306,   , XRQA,   0, 279N, 1094E,  15,    0, DB
WP, 09,2099082312,   , XRQA,   0, 274N, 1083E,  15,    0, DB
WP, 09,2099082318,   , XRQA,   0, 267N, 1072E,  15,    0, DB
WP, 09,2099082400,   , XRQA,   0, 259N, 1065E,  15,    0, DB
WP, 09,2099082406,   , XRQA,   0, 250N, 1060E,  15,    0, DB,Sepat
