WP, 09,2099070812,   , XRQA,   0,  70N, 1553E,  15,    0, DB
WP, 09,2099070818,   , XRQA,   0,  71N, 1551E,  20,    0, DB
WP, 09,2099070900,   , XRQA,   0,  74N, 1547E,  20,    0, DB
WP, 09,2099070906,   , XRQA,   0,  78N, 1543E,  25,    0, TD
WP, 09,2099070912,   , XRQA,   0,  80N, 1536E,  30,    0, TD
WP, 09,2099070918,   , XRQA,   0,  84N, 1528E,  40,    0, TS
WP, 09,2099071000,   , XRQA,   0,  88N, 1521E,  35,    0, TS
WP, 09,2099071006,   , XRQA,   0,  97N, 1515E,  40,    0, TS
WP, 09,2099071012,   , XRQA,   0, 107N, 1505E,  40,    0, TS
WP, 09,2099071018,   , XRQA,   0, 115N, 1497E,  30,    0, TD
WP, 09,2099071100,   , XRQA,   0, 120N, 1488E,  45,    0, TS
WP, 09,2099071106,   , XRQA,   0, 127N, 1478E,  50,    0, TS
WP, 09,2099071112,   , XRQA,   0, 133N, 1467E,  40,    0, TS
WP, 09,2099071118,   , XRQA,   0, 136N, 1458E,  35,    0, TS
WP, 09,2099071200,   , XRQA,   0, 136N, 1445E,  40,    0, TS
WP, 09,2099071206,   , XRQA,   0, 136N, 1430E,  50,    0, TS
WP, 09,2099071212,   , XRQA,   0, 136N, 1414E,  50,    0, TS
WP, 09,2099071218,   , XRQA,   0, 136N, 1400E,  45,    0, TS
WP, 09,2099071300,   , XRQA,   0, 136N, 1381E,  45,    0, TS
WP, 09,2099071306,   , XRQA,   0, 136N, 1362E,  50,    0, TS
WP, 09,2099071312,   , XRQA,   0, 135N, 1343E,  45,    0, TS
WP, 09,2099071318,   , XRQA,   0, 135N, 1325E,  45,    0, TS
WP, 09,2099071400,   , XRQA,   0, 133N, 1307E,  55,    0, TS
WP, 09,2099071406,   , XRQA,   0, 129N, 1292E,  65,    0, TY
WP, 09,2099071412,   , XRQA,   0, 127N, 1282E,  85,    0, TY
WP, 09,2099071418,   , XRQA,   0, 126N, 1269E,  90,    0, TY
WP, 09,2099071500,   , XRQA,   0, 127N, 1257E,  95,    0, TY
WP, 09,2099071506,   , XRQA,   0, 130N, 1246E, 100,    0, TY
WP, 09,2099071512,   , XRQA,   0, 134N, 1235E, 110,    0, TY
WP, 09,2099071518,   , XRQA,   0, 140N, 1221E, 105,    0, TY
WP, 09,2099071600,   , XRQA,   0, 144N, 1206E,  75,    0, TY
WP, 09,2099071606,   , XRQA,   0, 150N, 1192E,  60,    0, TS
WP, 09,2099071612,   , XRQA,   0, 153N, 1179E,  65,    0, TY
WP, 09,2099071618,   , XRQA,   0, 158N, 1168E,  70,    0, TY
WP, 09,2099071700,   , XRQA,   0, 163N, 1158E,  75,    0, TY
WP, 09,2099071706,   , XRQA,   0, 168N, 1150E,  90,    0, TY
WP, 09,2099071712,   , XRQA,   0, 175N, 1142E, 100,    0, TY
WP, 09,2099071718,   , XRQA,   0, 183N, 1134E, 115,    0, TY
WP, 09,2099071800,   , XRQA,   0, 191N, 1123E, 130,    0, ST
WP, 09,2099071806,   , XRQA,   0, 199N, 1113E, 150,    0, ST
WP, 09,2099071812,   , XRQA,   0, 203N, 1103E, 125,    0, TY
WP, 09,2099071818,   , XRQA,   0, 210N, 1094E, 105,    0, TY
WP, 09,2099071821,   , XRQA,   0, 214N, 1089E, 110,    0, TY
WP, 09,2099071900,   , XRQA,   0, 218N, 1083E,  95,    0, TY
WP, 09,2099071906,   , XRQA,   0, 222N, 1072E,  55,    0, TS
WP, 09,2099071912,   , XRQA,   0, 228N, 1063E,  35,    0, TS
WP, 09,2099071918,   , XRQA,   0, 230N, 1050E,  30,    0, TD
WP, 09,2099072000,   , XRQA,   0, 234N, 1042E,  25,    0, TD
WP, 09,2099072006,   , XRQA,   0, 238N, 1033E,  25,    0, TD
WP, 09,2099072012,   , XRQA,   0, 241N, 1023E,  20,    0, DB
WP, 09,2099072018,   , XRQA,   0, 244N, 1013E,  20,    0, DB,Rammasun
